出発地のノード番号,到着側のノード番号,ウェイの距離[m]
21114,14596,16.0
14596,20427,20.15
20427,14610,6.81
14610,14614,25.48
14614,14621,20.89
14621,21038,23.27
21038,14648,81.9
14648,14650,28.24
14650,14653,18.96
14653,14655,13.44
14655,14654,26.23
14654,14652,12.87
14652,14649,24.42
14649,21037,20.47
21037,14646,10.17
14646,14634,18.4
14634,14625,18.42
14625,14617,23.99
14617,20477,26.1
20477,14609,15.99
14609,14605,7.35
14605,14600,8.89
14600,20475,8.51
20475,14595,9.47
14595,14585,13.36
14585,14582,23.43
14582,14579,17.88
14579,14574,18.67
14574,14559,12.04
16180,16168,62.94
16168,16166,24.69
16166,16157,29.15
16157,16131,14.18
16131,16065,68.52
16065,16062,26.36
16062,16059,18.01
16059,16056,16.38
16056,16054,14.14
16054,16052,40.97
16052,16047,12.55
16047,16046,24.52
16046,16044,21.79
16044,16043,13.26
16043,16041,17.57
16041,16037,15.07
16037,16035,12.09
16035,16030,24.75
16030,16027,30.82
16027,15988,68.39
16621,16606,16.56
16606,16604,16.91
16604,16601,18.17
16601,16597,11.34
16597,16576,12.96
16576,16570,9.02
16570,16518,23.31
16518,16511,11.99
16511,16509,8.55
16509,16505,16.98
16505,16503,12.73
16503,16499,17.15
16499,16496,13.83
16496,16492,12.65
16492,16489,17.34
16489,16485,13.5
16485,16471,14.27
16471,16424,10.07
16424,16417,12.73
16417,16409,9.8
16409,16396,15.37
16396,16384,34.86
14047,14054,11.45
14054,14057,11.6
14057,14063,16.73
14063,14068,16.09
14068,14072,13.52
14072,14080,15.76
14080,14081,9.79
14081,14085,18.43
14085,14086,14.91
14086,14088,9.66
14088,14091,11.18
14091,14092,1.5
14092,14097,8.24
14097,14099,11.05
14099,14102,15.92
14102,14108,10.24
14108,14109,6.29
14109,14111,8.09
14111,14112,12.48
14112,14115,7.46
14115,14117,18.47
14117,14126,18.27
14126,14133,17.17
14133,14141,12.41
14141,14161,20.42
14161,14185,45.09
15298,15295,59.66
15295,15294,8.26
15294,15293,14.05
15293,15289,19.97
15289,15288,8.71
15288,15286,14.61
15286,15277,13.37
15277,15273,9.62
15273,15272,11.63
15272,15244,20.26
15244,15214,36.26
15214,15210,22.21
15210,15202,25.15
15202,15183,23.7
15183,15178,31.39
15178,15167,48.57
15167,15158,35.8
15158,15133,17.86
15133,15119,19.45
15119,15115,14.3
15115,15113,15.1
15113,15111,17.26
15111,15109,12.18
15109,15108,13.45
16813,16815,22.73
16815,16818,19.77
16818,16819,20.88
16819,16821,17.12
16821,16825,27.81
16825,16823,26.29
16823,16822,24.59
16822,16824,6.27
16824,16828,9.52
16828,16831,22.9
16831,16851,31.07
16851,16868,19.84
16868,16926,16.82
16926,16940,15.77
16940,16957,50.14
16957,16982,29.88
16982,16991,9.15
16991,16999,11.34
16999,17016,12.23
17016,17027,16.8
17027,17033,12.54
17033,17030,5.38
17030,17015,11.63
17015,17001,6.7
17001,17004,6.99
17004,17028,16.19
17028,17032,13.4
6524,6523,29.72
6523,14210,12.28
14210,14114,105.36
14438,14381,59.25
14381,14375,23.8
16727,16723,5.18
16723,16718,21.08
16718,16726,19.1
16726,16731,22.61
16731,16735,17.49
16735,16736,37.53
16736,16733,27.46
16733,16738,22.13
16738,16737,13.77
16737,16728,18.61
16728,16722,20.67
16722,16717,8.58
16717,16719,15.56
16719,16734,24.92
16734,16745,27.98
16745,16749,12.28
16749,16754,18.89
16754,16772,24.51
16772,16775,10.9
16775,16779,11.3
16779,16784,20.11
16784,16794,31.79
16794,16796,14.7
16796,16795,13.13
16795,16791,14.39
16791,16786,11.08
16786,16788,8.29
16788,16797,12.88
16797,16805,24.11
16805,16809,14.82
16262,16267,21.55
16267,16273,14.85
16273,16276,19.49
16276,16279,15.62
16279,16280,24.62
16280,16281,16.03
16281,16284,20.45
16284,16288,20.65
16288,16291,24.22
16291,16293,11.15
16293,16299,11.89
16299,16303,12.1
16303,16314,23.08
16314,16323,23.24
16323,16328,27.45
16328,16348,34.53
16348,16375,36.97
16375,16387,28.28
16387,16408,33.99
16408,16431,27.78
16431,16490,36.81
16490,16498,22.13
16498,16510,54.17
15204,15190,21.05
15190,15188,19.99
15188,15191,28.82
15191,15199,11.11
15199,15206,12.4
15206,15211,14.72
15211,15217,56.07
15217,15255,45.15
15255,15275,37.51
15275,15290,21.44
13869,13881,28.09
13881,13907,37.27
13907,13914,17.33
13914,13919,10.32
13919,13927,6.41
13927,13928,10.27
13928,13926,7.92
13926,13917,15.53
13917,13910,15.53
13910,13898,17.31
13898,13891,11.06
13891,13887,7.88
13887,13889,5.85
13889,13897,16.84
13897,13902,11.77
13902,13904,7.94
13904,13899,9.1
13899,13883,23.1
13883,13873,22.42
13873,13863,9.08
13863,13851,19.17
13851,13844,15.63
13844,13839,10.12
13839,13834,10.03
13834,13778,12.48
13778,13769,16.32
13769,13759,17.85
13759,13758,8.7
13758,13745,11.0
13745,13733,10.93
13733,13732,18.01
13732,13756,29.48
13756,13754,16.39
13754,13760,14.07
13760,13782,22.25
13782,13869,47.06
9184,14445,149.68
14445,14416,29.74
14416,14376,28.74
14376,14373,18.61
14373,14334,47.57
14334,14322,17.93
14322,14313,20.06
14313,14311,10.77
14311,14299,45.54
14299,14291,18.9
14291,14280,9.66
14280,14266,10.54
14266,14258,6.34
14258,14255,8.35
14255,14267,12.7
14267,14278,19.12
14278,14283,7.26
14283,14281,11.58
14281,14273,8.29
14273,14257,10.58
14257,14238,9.28
14238,14218,13.68
14218,14202,5.59
14202,14191,8.45
14191,14170,14.36
14170,14162,7.48
14162,14156,7.18
14156,14160,6.91
14160,14165,6.62
14165,14187,19.39
14187,14198,17.27
14198,14212,12.57
14212,14213,18.15
14213,14207,24.35
14207,14197,16.7
14197,14194,13.34
